dataset_name,target_epsilon,accuracy
dpdl-benchmark/svhn_cropped,0.16977128496936428,0.21406078338623047
dpdl-benchmark/svhn_cropped,0.18290647670161017,0.22516295313835144
dpdl-benchmark/svhn_cropped,0.1970579372444148,0.22514259815216064
dpdl-benchmark/svhn_cropped,0.2123042952403112,0.22797486186027527
dpdl-benchmark/svhn_cropped,0.2287302628240756,0.2540096342563629
dpdl-benchmark/svhn_cropped,0.2464271063020724,0.24506044387817383
dpdl-benchmark/svhn_cropped,0.2654931532480229,0.2507895827293396
dpdl-benchmark/svhn_cropped,0.2860343388327383,0.2583896815776825
dpdl-benchmark/svhn_cropped,0.30816479442334166,0.2612384557723999
dpdl-benchmark/svhn_cropped,0.33200748172236977,0.32710036635398865
dpdl-benchmark/svhn_cropped,0.3576948759701685,0.34671449661254883
dpdl-benchmark/svhn_cropped,0.3853697020066086,0.3652021884918213
dpdl-benchmark/svhn_cropped,0.4151857272818411,0.4079746603965759
dpdl-benchmark/svhn_cropped,0.44730861622223533,0.3918123245239258
dpdl-benchmark/svhn_cropped,0.481916850698548,0.4516878128051758
dpdl-benchmark/svhn_cropped,0.519202721710644,0.47601547837257385
dpdl-benchmark/svhn_cropped,0.5593733977987932,0.522956907749176
dpdl-benchmark/svhn_cropped,0.6026520761178672,0.5519362688064575
dpdl-benchmark/svhn_cropped,0.6492792225700643,0.5089024305343628
dpdl-benchmark/svhn_cropped,0.6995139078866082,0.5970792770385742
dpdl-benchmark/svhn_cropped,0.7536352470819924,0.62859708070755
dpdl-benchmark/svhn_cropped,0.8119439502786887,0.6008567810058594
dpdl-benchmark/svhn_cropped,0.8747639935190532,0.6030847430229187
dpdl-benchmark/svhn_cropped,0.9424444188478197,0.6725071668624878
dpdl-benchmark/svhn_cropped,1.0153612736668485,0.6671531200408936
dpdl-benchmark/svhn_cropped,1.0939197001376042,0.7099147439002991
dpdl-benchmark/svhn_cropped,1.1785561862405467,0.7019392251968384
dpdl-benchmark/svhn_cropped,1.2697409909988278,0.7071706652641296
dpdl-benchmark/svhn_cropped,1.367980757341359,0.7466094493865967
dpdl-benchmark/svhn_cropped,1.4738213271228982,0.7528373003005981
dpdl-benchmark/svhn_cropped,1.5878507739420444,0.7603006958961487
